time_stamp,daily_mean_25pm,daily_sensor_count
2018-09-19,0.98,3
2018-09-20,3.28,3
2018-09-21,3.12,3
2018-09-22,2.13,3
2018-09-23,1.82,3
2018-09-24,1.03,3
2018-09-25,1.13,3
2018-09-26,1.52,3
2018-09-27,2.63,3
2018-09-28,2.42,3
2018-09-29,8.19,4
2018-09-30,1.37,3
2018-10-01,1.05,3
2018-10-02,1.05,3
2018-10-03,2.02,3
2018-10-04,0.53,3
2018-10-05,0.87,3
2018-10-06,1.12,3
2018-10-07,0.88,3
2018-10-08,0.98,3
2018-10-09,0.97,3
2018-10-10,1.18,3
2018-10-11,1.65,3
2018-10-12,0.98,3
2018-10-13,1.68,3
2018-10-14,1.37,3
2018-10-15,0.63,3
2018-10-16,0.38,3
2018-10-17,0.9,3
2018-10-18,1.98,3
2018-10-19,0.65,3
2018-10-20,0.73,3
2018-10-21,1.22,3
2018-10-22,2.65,3
2018-10-23,5.58,3
2018-10-24,2.72,3
2018-10-25,1.73,3
2018-10-26,3.22,3
2018-10-27,2.28,3
2018-10-28,1.83,3
2018-10-29,0.25,3
2018-10-30,0.28,3
2018-10-31,0.59,4
2018-11-01,0.65,4
2018-11-02,17.59,8
2018-11-03,2.28,4
2018-11-04,1.29,4
2018-11-05,1.64,4
2018-11-06,12.18,5
2018-11-07,8.69,5
2018-11-08,4.72,5
2018-11-09,2.59,4
2018-11-10,8.62,2
2018-11-11,1.8,3
2018-11-12,12.62,4
2018-11-13,5.74,4
2018-11-14,8.14,4
2018-11-15,1.38,3
2018-11-16,14.21,4
2018-11-17,15.08,4
2018-11-18,18.21,4
2018-11-19,9.5,4
2018-11-20,6.55,4
2018-11-21,8.04,4
2018-11-22,1.34,4
2018-11-23,0.56,4
2018-11-24,1.19,4
2018-11-25,2.24,4
2018-11-26,2.45,4
2018-11-27,3.24,4
2018-11-28,4.21,5
2018-11-29,11.42,5
2018-11-30,1.39,4
2018-12-01,2.0,4
2018-12-02,0.53,3
2018-12-03,1.19,4
2018-12-04,2.47,6
2018-12-05,7.44,7
2018-12-06,10.02,8
2018-12-07,1.19,4
2018-12-08,2.75,5
2018-12-09,2.48,5
2018-12-10,1.55,5
2018-12-11,2.59,5
2018-12-12,2.06,5
2018-12-13,2.14,5
2018-12-14,2.19,5
2018-12-15,0.5,4
2018-12-16,0.58,5
2018-12-17,0.22,4
2018-12-18,0.24,4
2018-12-19,0.44,4
2018-12-20,1.67,5
2018-12-21,0.38,4
2018-12-22,0.86,4
2018-12-23,0.86,4
2018-12-24,0.44,4
2018-12-25,0.85,5
2018-12-26,0.74,5
2018-12-27,0.97,6
2018-12-28,0.29,4
2018-12-29,1.13,6
2018-12-30,1.98,6
2018-12-31,0.89,5
2019-01-01,0.62,6
2019-01-02,0.7,5
2019-01-03,1.78,6
2019-01-04,2.72,6
2019-01-05,0.76,4
2019-01-06,0.38,5
2019-01-07,0.3,4
2019-01-08,2.29,5
2019-01-09,0.39,4
2019-01-10,0.28,5
2019-01-11,2.31,6
2019-01-12,3.22,6
2019-01-13,2.23,6
2019-01-14,1.64,6
2019-01-15,1.77,6
2019-01-16,0.36,5
2019-01-17,0.14,5
2019-01-18,0.21,4
2019-01-19,0.6,6
2019-01-20,0.61,5
2019-01-21,0.3,5
2019-01-22,0.42,6
2019-01-23,1.44,5
2019-01-24,0.69,4
2019-01-25,1.62,6
2019-01-26,1.03,6
2019-01-27,2.62,6
2019-01-28,2.05,6
2019-01-29,1.85,5
2019-01-30,2.05,6
2019-01-31,2.75,6
2019-02-01,4.26,6
2019-02-02,0.44,5
2019-02-03,0.32,5
2019-02-04,0.14,4
2019-02-05,0.3,3
2019-02-06,0.49,6
2019-02-07,0.83,6
2019-02-08,0.91,5
2019-02-09,0.4,4
2019-02-10,0.17,3
2019-02-11,0.34,4
2019-02-12,0.27,3
2019-02-13,0.19,4
2019-02-14,0.13,3
2019-02-15,0.18,3
2019-02-16,0.2,4
2019-02-17,0.4,4
2019-02-18,0.38,4
2019-02-19,0.75,5
2019-02-20,0.69,4
2019-02-21,0.34,4
2019-02-22,0.44,4
2019-02-23,0.91,5
2019-02-24,0.69,4
2019-02-25,0.54,4
2019-02-26,0.36,4
2019-02-27,0.27,3
2019-02-28,0.28,2
2019-03-01,0.4,4
2019-03-02,0.72,4
2019-03-03,0.2,3
2019-03-04,0.31,4
2019-03-05,0.78,5
2019-03-06,0.18,3
2019-03-07,0.15,3
2019-03-08,0.42,3
2019-03-09,0.53,3
2019-03-10,0.34,4
2019-03-11,0.6,3
2019-03-12,0.76,4
2019-03-13,0.28,3
2019-03-14,0.36,4
2019-03-15,0.75,4
2019-03-16,0.99,4
2019-03-17,0.98,5
2019-03-18,1.64,4
2019-03-19,1.34,4
2019-03-20,0.75,4
2019-03-21,0.46,4
2019-03-22,0.6,3
2019-03-23,1.51,4
2019-03-24,1.7,4
2019-03-25,3.22,4
2019-03-26,2.49,5
2019-03-27,0.6,5
2019-03-28,0.68,5
2019-03-29,1.01,6
2019-03-30,0.98,6
2019-03-31,0.95,6
2019-04-01,1.35,5
2019-04-02,0.35,5
2019-04-03,0.29,4
2019-04-04,1.06,5
2019-04-05,0.94,5
2019-04-06,0.4,4
2019-04-07,0.84,4
2019-04-08,2.54,6
2019-04-09,0.65,4
2019-04-10,0.25,4
2019-04-11,0.78,5
2019-04-12,0.66,5
2019-04-13,0.88,4
2019-04-14,1.47,5
2019-04-15,1.12,6
2019-04-16,0.69,5
2019-04-17,0.56,4
2019-04-18,0.73,4
2019-04-19,2.26,6
2019-04-20,1.67,5
2019-04-21,1.24,4
2019-04-22,1.0,4
2019-04-23,0.82,4
2019-04-24,0.96,4
2019-04-25,2.25,6
2019-04-26,0.62,4
2019-04-27,0.78,5
2019-04-28,0.96,4
2019-04-29,1.87,5
2019-04-30,2.5,6
2019-05-01,0.96,5
2019-05-02,2.55,6
2019-05-03,4.07,6
2019-05-04,4.7,6
2019-05-05,2.22,5
2019-05-06,2.03,5
2019-05-07,1.92,4
2019-05-08,5.71,6
