Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2015 Q3,53,639,602,$848 ,$1.39 ,3.00%,842.00,$1.38 ,2.90%,0.80%,33,5.10%,-1.60%,606,94.90%,1.60%,1,0.20%,0,0,0.00%,0,0,0.00%
2015 Q2,53,639,602,$834 ,$1.36 ,1.70%,829.00,$1.35 ,1.80%,0.60%,34,5.30%,-1.20%,605,94.70%,1.20%,3,0.50%,0,0,0.00%,0,0,0.00%
2015 Q1,53,639,602,$825 ,$1.35 ,0.90%,820.00,$1.34 ,0.90%,0.60%,37,5.80%,-0.60%,602,94.20%,0.60%,6,0.90%,0,0,0.00%,0,0,0.00%
2014 Q4,53,639,602,$825 ,$1.35 ,1.30%,820.00,$1.34 ,1.30%,0.60%,43,6.70%,0.10%,596,93.30%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2014 Q3,53,639,602,$824 ,$1.35 ,1.60%,819.00,$1.34 ,1.70%,0.60%,43,6.70%,0.10%,596,93.30%,-0.10%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2014 Q2,53,639,602,$820 ,$1.34 ,1.90%,815.00,$1.33 ,2.00%,0.60%,41,6.50%,-0.20%,598,93.50%,0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2014 Q1,53,639,602,$818 ,$1.34 ,2.10%,812.00,$1.33 ,2.30%,0.70%,41,6.40%,-0.50%,598,93.60%,0.50%,1,0.20%,0,0,0.00%,0,0,0.00%
2013 Q4,53,639,602,$815 ,$1.33 ,2.30%,809.00,$1.32 ,2.30%,0.70%,42,6.60%,-0.50%,597,93.40%,0.50%,0,0.00%,0,0,0.00%,0,0,0.00%
2013 Q3,53,639,602,$811 ,$1.32 ,2.10%,805.00,$1.32 ,2.20%,0.70%,42,6.60%,-0.80%,597,93.40%,0.80%,0,0.00%,0,0,0.00%,0,0,0.00%
2013 Q2,53,639,602,$805 ,$1.31 ,1.60%,799.00,$1.31 ,1.70%,0.70%,42,6.60%,-0.80%,597,93.40%,0.80%,2,0.30%,0,0,0.00%,0,0,0.00%
2013 Q1,53,639,602,$801 ,$1.31 ,1.40%,795.00,$1.30 ,1.40%,0.80%,44,6.90%,-0.30%,595,93.10%,0.30%,1,0.20%,0,0,0.00%,0,0,0.00%
2012 Q4,53,639,602,$797 ,$1.30 ,1.10%,791.00,$1.29 ,1.10%,0.70%,45,7.10%,0.00%,594,92.90%,0.00%,2,0.30%,0,0,0.00%,0,0,0.00%
2012 Q3,53,639,602,$794 ,$1.30 ,0.90%,788.00,$1.29 ,0.90%,0.70%,47,7.40%,0.40%,592,92.60%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2012 Q2,53,639,602,$792 ,$1.29 ,0.80%,786.00,$1.28 ,0.70%,0.70%,47,7.40%,0.20%,592,92.60%,-0.20%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2012 Q1,53,639,602,$790 ,$1.29 ,0.60%,784.00,$1.28 ,0.60%,0.70%,47,7.30%,0.00%,592,92.70%,0.00%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2011 Q4,53,639,602,$788 ,$1.29 ,0.70%,782.00,$1.28 ,0.70%,0.70%,45,7.10%,-0.40%,594,92.90%,0.40%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2011 Q3,53,639,602,$787 ,$1.29 ,0.80%,781.00,$1.28 ,0.80%,0.70%,45,7.00%,-0.80%,594,93.00%,0.80%,33,5.20%,0,0,0.00%,1,34,5.30%
2011 Q2,52,605,597,$786 ,$1.28 ,1.20%,780.00,$1.28 ,1.20%,0.70%,44,7.20%,-0.80%,561,92.80%,0.80%,0,0.00%,1,34,5.60%,0,0,0.00%
2011 Q1,52,605,597,$785 ,$1.28 ,1.50%,780.00,$1.27 ,1.50%,0.70%,44,7.30%,-1.00%,561,92.70%,1.00%,1,0.20%,1,34,5.60%,0,0,0.00%
2010 Q4,52,605,597,$783 ,$1.28 ,-0.10%,777.00,$1.27 ,0.00%,0.70%,45,7.50%,-0.90%,560,92.50%,0.90%,2,0.30%,1,34,5.60%,0,0,0.00%
2010 Q3,52,605,597,$781 ,$1.28 ,-2.20%,775.00,$1.27 ,-2.20%,0.70%,47,7.80%,-0.60%,558,92.20%,0.60%,2,0.30%,1,34,5.60%,0,0,0.00%
2010 Q2,52,605,597,$777 ,$1.27 ,-3.90%,771.00,$1.26 ,-3.90%,0.70%,49,8.00%,0.00%,556,92.00%,0.00%,2,0.30%,1,34,5.60%,0,0,0.00%
2010 Q1,52,605,597,$774 ,$1.26 ,-4.90%,768.00,$1.25 ,-4.90%,0.80%,50,8.30%,0.70%,555,91.70%,-0.70%,1,0.20%,0,0,0.00%,0,0,0.00%
2009 Q4,52,605,597,$783 ,$1.28 ,-4.50%,777.00,$1.27 ,-4.50%,0.80%,51,8.40%,1.30%,554,91.60%,-1.30%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2009 Q3,52,605,597,$799 ,$1.31 ,-3.10%,793.00,$1.30 ,-3.10%,0.80%,50,8.30%,1.50%,555,91.70%,-1.50%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2009 Q2,52,605,597,$808 ,$1.32 ,-1.50%,802.00,$1.31 ,-1.60%,0.70%,49,8.10%,1.50%,556,91.90%,-1.50%,-3,-0.50%,0,0,0.00%,0,0,0.00%
2009 Q1,52,605,597,$813 ,$1.33 ,-0.30%,807.00,$1.32 ,-0.40%,0.70%,46,7.60%,1.10%,559,92.40%,-1.10%,-3,-0.50%,0,0,0.00%,0,0,0.00%
2008 Q4,52,605,597,$820 ,$1.34 ,0.50%,814.00,$1.33 ,0.40%,0.70%,43,7.20%,0.70%,562,92.80%,-0.70%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2008 Q3,52,605,597,$824 ,$1.35 ,0.90%,818.00,$1.34 ,0.80%,0.70%,41,6.80%,0.40%,564,93.20%,-0.40%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2008 Q2,52,605,597,$820 ,$1.34 ,1.50%,815.00,$1.33 ,1.50%,0.70%,40,6.60%,0.10%,565,93.40%,-0.10%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2008 Q1,52,605,597,$816 ,$1.33 ,2.50%,811.00,$1.33 ,2.50%,0.70%,39,6.50%,0.00%,566,93.50%,0.00%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q4,52,605,597,$816 ,$1.33 ,4.90%,811.00,$1.33 ,4.90%,0.70%,39,6.40%,-0.20%,566,93.60%,0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q3,52,605,597,$817 ,$1.34 ,6.80%,811.00,$1.33 ,6.80%,0.70%,39,6.50%,-0.30%,566,93.50%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q2,52,605,597,$809 ,$1.32 ,7.00%,803.00,$1.31 ,7.00%,0.70%,39,6.50%,-0.30%,566,93.50%,0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2007 Q1,52,605,597,$796 ,$1.30 ,7.30%,791.00,$1.29 ,7.30%,0.70%,39,6.50%,-0.50%,566,93.50%,0.50%,1,0.20%,0,0,0.00%,0,0,0.00%
2006 Q4,52,605,597,$778 ,$1.27 ,5.50%,772.00,$1.26 ,5.50%,0.70%,40,6.60%,-0.60%,565,93.40%,0.60%,1,0.20%,0,0,0.00%,0,0,0.00%
2006 Q3,52,605,597,$765 ,$1.25 ,3.60%,760.00,$1.24 ,3.60%,0.70%,41,6.70%,-0.80%,564,93.30%,0.80%,1,0.20%,0,0,0.00%,0,0,0.00%
2006 Q2,52,605,597,$756 ,$1.23 ,2.90%,751.00,$1.23 ,3.00%,0.70%,41,6.80%,-1.40%,564,93.20%,1.40%,1,0.20%,0,0,0.00%,0,0,0.00%
2006 Q1,52,605,597,$742 ,$1.21 ,1.80%,737.00,$1.20 ,1.90%,0.70%,42,7.00%,-1.80%,563,93.00%,1.80%,1,0.20%,0,0,0.00%,0,0,0.00%
2005 Q4,52,605,597,$737 ,$1.20 ,1.30%,732.00,$1.20 ,1.40%,0.70%,44,7.20%,-2.20%,561,92.80%,2.20%,2,0.30%,0,0,0.00%,0,0,0.00%
2005 Q3,52,605,597,$738 ,$1.21 ,1.10%,733.00,$1.20 ,1.30%,0.70%,46,7.50%,-2.50%,559,92.50%,2.50%,4,0.70%,0,0,0.00%,0,0,0.00%
2005 Q2,52,605,597,$734 ,$1.20 ,0.70%,729.00,$1.19 ,0.90%,0.70%,50,8.20%,-2.40%,555,91.80%,2.40%,4,0.70%,0,0,0.00%,0,0,0.00%
2005 Q1,52,605,597,$729 ,$1.19 ,-0.20%,723.00,$1.18 ,0.00%,0.80%,53,8.80%,-2.50%,552,91.20%,2.50%,4,0.70%,0,0,0.00%,0,0,0.00%
2004 Q4,52,605,597,$728 ,$1.19 ,-1.60%,722.00,$1.18 ,-1.70%,0.80%,57,9.40%,0.40%,548,90.60%,-0.40%,4,0.70%,0,0,0.00%,0,0,0.00%
2004 Q3,52,605,597,$730 ,$1.19 ,-1.60%,723.00,$1.18 ,-1.80%,0.90%,61,10.00%,1.30%,544,90.00%,-1.30%,4,0.70%,0,0,0.00%,0,0,0.00%
2004 Q2,52,605,597,$729 ,$1.19 ,-1.70%,722.00,$1.18 ,-1.90%,0.90%,64,10.60%,2.10%,541,89.40%,-2.10%,4,0.70%,0,0,0.00%,0,0,0.00%
2004 Q1,52,605,597,$730 ,$1.19 ,-0.70%,723.00,$1.18 ,-0.90%,0.90%,68,11.30%,2.90%,537,88.70%,-2.90%,13,2.10%,0,0,0.00%,1,30,5.00%
2003 Q4,51,575,600,$740 ,$1.21 ,1.60%,734.00,$1.20 ,1.60%,0.70%,52,9.00%,0.60%,523,91.00%,-0.60%,-1,-0.20%,1,30,5.20%,0,0,0.00%
2003 Q3,51,575,600,$742 ,$1.21 ,1.60%,736.00,$1.20 ,1.60%,0.70%,50,8.70%,0.40%,525,91.30%,-0.40%,-1,-0.20%,1,30,5.20%,0,0,0.00%
2003 Q2,51,575,600,$741 ,$1.21 ,2.30%,736.00,$1.20 ,2.30%,0.70%,49,8.50%,-0.20%,526,91.50%,0.20%,-1,-0.20%,1,30,5.20%,0,0,0.00%
2003 Q1,51,575,600,$736 ,$1.20 ,2.80%,730.00,$1.19 ,2.80%,0.70%,48,8.30%,-0.30%,527,91.70%,0.30%,0,0.00%,1,30,5.20%,0,0,0.00%
2002 Q4,51,575,600,$728 ,$1.19 ,2.50%,723.00,$1.18 ,2.60%,0.70%,48,8.30%,-0.10%,527,91.70%,0.10%,0,0.00%,1,30,5.20%,0,0,0.00%
2002 Q3,51,575,600,$730 ,$1.19 ,3.30%,725.00,$1.18 ,3.30%,0.70%,48,8.30%,0.00%,527,91.70%,0.00%,18,3.10%,0,0,0.00%,1,18,3.10%
2002 Q2,50,557,600,$725 ,$1.18 ,3.90%,719.00,$1.17 ,3.90%,0.70%,48,8.60%,0.50%,509,91.40%,-0.50%,0,0.00%,1,18,3.20%,0,0,0.00%
2002 Q1,50,557,600,$716 ,$1.17 ,4.30%,710.00,$1.16 ,4.30%,0.80%,48,8.60%,0.40%,509,91.40%,-0.40%,-1,-0.20%,1,18,3.20%,0,0,0.00%
2001 Q4,50,557,600,$710 ,$1.16 ,4.60%,705.00,$1.15 ,4.40%,0.80%,47,8.50%,2.10%,510,91.50%,-2.10%,-1,-0.20%,1,18,3.20%,0,0,0.00%
2001 Q3,50,557,600,$707 ,$1.15 ,5.60%,702.00,$1.14 ,5.40%,0.80%,46,8.20%,1.90%,511,91.80%,-1.90%,10,1.80%,1,18,3.20%,1,12,2.20%
2001 Q2,49,545,601,$697 ,$1.14 ,5.80%,692.00,$1.13 ,5.60%,0.80%,44,8.10%,1.70%,501,91.90%,-1.70%,1,0.20%,2,30,5.50%,0,0,0.00%
2001 Q1,49,545,601,$686 ,$1.12 ,5.90%,681.00,$1.11 ,5.70%,0.80%,45,8.20%,1.60%,500,91.80%,-1.60%,8,1.50%,2,30,5.50%,1,20,3.70%
2000 Q4,48,525,599,$679 ,$1.11 ,-,675.00,$1.10 ,-,0.60%,33,6.30%,-,492,93.70%,-,0,0.00%,3,50,9.50%,0,0,0.00%
2000 Q3,48,525,599,$670 ,$1.09 ,-,666.00,$1.08 ,-,0.60%,33,6.30%,-,492,93.70%,-,1,0.20%,2,32,6.10%,0,0,0.00%
2000 Q2,48,525,599,$659 ,$1.07 ,-,655.00,$1.07 ,-,0.60%,34,6.40%,-,491,93.60%,-,1,0.20%,2,32,6.10%,0,0,0.00%
2000 Q1,48,525,599,$648 ,$1.06 ,-,644.00,$1.05 ,-,0.60%,35,6.60%,-,490,93.40%,-,0,0.00%,2,32,6.10%,0,0,0.00%
