Period,Inventory Bldgs,Inventory Units,Inventory Avg SF,Asking Rent Per Unit,Asking Rent Per SF,Asking Rent % Growth/Yr,Effective Rent Per Unit,Effective Rent Per SF,Effective Rent % Growth/Yr,Effective Rent Concessions %,Vacancy Units,Vacancy Percent,Vacancy % Growth/Yr,Occupancy Units,Occupancy Percent,Occupancy % Growth/Yr,Absorption Units,Absorption Percent,Under Construction Bldgs,Under Construction Units,Under Construction Percent,Deliveries Bldgs,Deliveries Units,Deliveries Percent
2024 Q1 QTD,53,639,602,"$1,085 ",$1.80 ,-0.10%,1078.00,$1.79 ,-0.20%,0.60%,37,5.80%,1.10%,602,94.20%,-1.10%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2023 Q4,53,639,602,"$1,083 ",$1.79 ,0.00%,1077.00,$1.78 ,-0.10%,0.60%,36,5.70%,1.20%,603,94.30%,-1.20%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2023 Q3,53,639,602,"$1,096 ",$1.81 ,1.30%,1090.00,$1.80 ,1.30%,0.60%,35,5.40%,1.20%,604,94.60%,-1.20%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2023 Q2,53,639,602,"$1,083 ",$1.79 ,0.50%,1077.00,$1.78 ,0.40%,0.60%,34,5.30%,1.30%,605,94.70%,-1.30%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2023 Q1,53,639,602,"$1,092 ",$1.81 ,3.10%,1086.00,$1.80 ,3.00%,0.60%,31,4.90%,1.10%,608,95.10%,-1.10%,-3,-0.50%,0,0,0.00%,0,0,0.00%
2022 Q4,53,639,602,"$1,083 ",$1.79 ,4.10%,1077.00,$1.78 ,4.00%,0.50%,29,4.50%,1.00%,610,95.50%,-1.00%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2022 Q3,53,639,602,"$1,082 ",$1.79 ,2.80%,1076.00,$1.78 ,2.70%,0.50%,27,4.30%,0.90%,612,95.70%,-0.90%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2022 Q2,53,639,602,"$1,078 ",$1.78 ,3.80%,1073.00,$1.78 ,3.80%,0.50%,25,4.00%,0.60%,614,96.00%,-0.60%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2022 Q1,53,639,602,"$1,060 ",$1.75 ,2.90%,1055.00,$1.74 ,2.90%,0.50%,25,3.90%,0.40%,614,96.10%,-0.40%,-2,-0.30%,0,0,0.00%,0,0,0.00%
2021 Q4,53,639,602,"$1,041 ",$1.72 ,3.00%,1036.00,$1.71 ,3.00%,0.40%,22,3.50%,-0.30%,617,96.50%,0.30%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2021 Q3,53,639,602,"$1,052 ",$1.74 ,4.10%,1047.00,$1.73 ,4.20%,0.50%,22,3.40%,-0.70%,617,96.60%,0.70%,0,0.00%,0,0,0.00%,0,0,0.00%
2021 Q2,53,639,602,"$1,038 ",$1.72 ,4.40%,1034.00,$1.71 ,4.50%,0.40%,21,3.40%,-0.90%,618,96.60%,0.90%,1,0.20%,0,0,0.00%,0,0,0.00%
2021 Q1,53,639,602,"$1,030 ",$1.70 ,4.30%,1025.00,$1.69 ,4.40%,0.50%,22,3.50%,-0.90%,617,96.50%,0.90%,2,0.30%,0,0,0.00%,0,0,0.00%
2020 Q4,53,639,602,"$1,011 ",$1.67 ,3.50%,1006.00,$1.66 ,3.60%,0.40%,24,3.80%,-0.60%,615,96.20%,0.60%,2,0.30%,0,0,0.00%,0,0,0.00%
2020 Q3,53,639,602,"$1,010 ",$1.67 ,4.60%,1005.00,$1.66 ,4.60%,0.50%,26,4.10%,-0.20%,613,95.90%,0.20%,1,0.20%,0,0,0.00%,0,0,0.00%
2020 Q2,53,639,602,$994 ,$1.64 ,2.20%,989.00,$1.63 ,2.20%,0.50%,27,4.20%,0.10%,612,95.80%,-0.10%,1,0.20%,0,0,0.00%,0,0,0.00%
2020 Q1,53,639,602,$987 ,$1.62 ,2.00%,981.00,$1.62 ,1.90%,0.60%,28,4.40%,0.40%,611,95.60%,-0.40%,0,0.00%,0,0,0.00%,0,0,0.00%
2019 Q4,53,639,602,$976 ,$1.61 ,1.40%,972.00,$1.60 ,1.40%,0.50%,28,4.40%,0.40%,611,95.60%,-0.40%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2019 Q3,53,639,602,$966 ,$1.59 ,0.90%,961.00,$1.58 ,0.90%,0.50%,27,4.30%,0.30%,612,95.70%,-0.30%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2019 Q2,53,639,602,$973 ,$1.60 ,2.40%,968.00,$1.59 ,2.30%,0.50%,26,4.10%,0.20%,613,95.90%,-0.20%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2019 Q1,53,639,602,$968 ,$1.59 ,2.30%,963.00,$1.58 ,2.30%,0.50%,26,4.00%,0.10%,613,96.00%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q4,53,639,602,$963 ,$1.58 ,2.40%,958.00,$1.58 ,2.90%,0.50%,26,4.00%,0.20%,613,96.00%,-0.20%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q3,53,639,602,$957 ,$1.57 ,3.10%,952.00,$1.57 ,3.10%,0.50%,25,4.00%,0.30%,614,96.00%,-0.30%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q2,53,639,602,$951 ,$1.56 ,3.70%,946.00,$1.56 ,3.70%,0.50%,25,3.90%,0.10%,614,96.10%,-0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2018 Q1,53,639,602,$946 ,$1.56 ,5.50%,941.00,$1.55 ,5.60%,0.50%,25,3.90%,-0.10%,614,96.10%,0.10%,0,0.00%,0,0,0.00%,0,0,0.00%
2017 Q4,53,639,602,$940 ,$1.55 ,4.80%,930.00,$1.53 ,4.40%,1.00%,24,3.80%,-0.30%,615,96.20%,0.30%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2017 Q3,53,639,602,$928 ,$1.53 ,5.20%,924.00,$1.52 ,5.20%,0.50%,24,3.70%,-0.50%,615,96.30%,0.50%,1,0.20%,0,0,0.00%,0,0,0.00%
2017 Q2,53,639,602,$917 ,$1.51 ,5.70%,912.00,$1.50 ,5.70%,0.50%,24,3.80%,-0.30%,615,96.20%,0.30%,1,0.20%,0,0,0.00%,0,0,0.00%
2017 Q1,53,639,602,$896 ,$1.47 ,4.10%,892.00,$1.46 ,4.10%,0.50%,25,4.00%,-0.30%,614,96.00%,0.30%,1,0.20%,0,0,0.00%,0,0,0.00%
2016 Q4,53,639,602,$896 ,$1.47 ,4.50%,892.00,$1.46 ,4.50%,0.50%,26,4.10%,-0.60%,613,95.90%,0.60%,1,0.20%,0,0,0.00%,0,0,0.00%
2016 Q3,53,639,602,$883 ,$1.45 ,4.00%,878.00,$1.44 ,4.20%,0.50%,27,4.20%,-0.90%,612,95.80%,0.90%,-1,-0.20%,0,0,0.00%,0,0,0.00%
2016 Q2,53,639,602,$868 ,$1.42 ,4.00%,863.00,$1.41 ,4.00%,0.50%,27,4.10%,-1.10%,612,95.90%,1.10%,1,0.20%,0,0,0.00%,0,0,0.00%
2016 Q1,53,639,602,$861 ,$1.41 ,4.40%,856.00,$1.40 ,4.40%,0.60%,27,4.30%,-1.50%,612,95.70%,1.50%,3,0.50%,0,0,0.00%,0,0,0.00%
2015 Q4,53,639,602,$858 ,$1.40 ,4.00%,853.00,$1.40 ,4.00%,0.60%,30,4.70%,-2.00%,609,95.30%,2.00%,3,0.50%,0,0,0.00%,0,0,0.00%
