sensor_index,date_created,last_seen,latitude,longitude
74795,2020-09-30 17:59:10,2024-02-01 21:18:14,39.238575,-120.0151
75515,2020-10-01 16:04:13,2024-02-01 21:16:40,38.94152,-119.96742
76135,2020-10-02 15:18:46,2024-02-01 21:18:13,38.9655,-119.927086
77229,2020-10-05 18:38:22,2023-07-27 19:49:44,39.252148,-119.980774
77669,2020-10-06 17:08:50,2023-11-30 20:04:33,39.247166,-120.03738
77839,2020-10-06 17:58:27,2024-02-01 21:18:19,39.209843,-120.10116
78773,2020-10-08 16:11:26,2024-02-01 21:16:38,39.141495,-120.16872
79053,2020-10-08 17:45:58,2024-02-01 21:18:05,39.26849,-119.972435
79379,2020-10-09 17:02:21,2022-08-01 16:43:53,38.927185,-119.97202
79445,2020-10-09 17:10:58,2024-02-01 21:16:58,38.92597,-119.97197
79589,2020-10-09 17:48:29,2024-02-01 21:18:23,39.225773,-120.07395
80257,2020-10-12 17:17:40,2024-02-01 21:18:10,39.269173,-120.12749
80949,2020-10-13 18:15:00,2024-02-01 21:17:48,38.96853,-119.922035
81173,2020-10-13 21:24:08,2022-08-01 15:55:14,38.92461,-119.96968
81301,2020-10-14 17:15:04,2022-12-10 01:14:24,38.92567,-119.97189
81315,2020-10-14 17:15:51,2021-10-15 15:17:08,38.926826,-119.9723
81357,2020-10-14 17:33:14,2022-01-20 19:16:57,39.183403,-120.11088
81537,2020-10-14 19:26:13,2022-09-16 20:29:46,38.944443,-119.97353
81787,2020-10-14 21:29:15,2022-01-20 19:40:51,38.933037,-119.97192
82711,2020-10-16 19:44:16,2022-11-04 22:05:52,39.243717,-120.0281
83135,2020-10-19 18:04:34,2024-02-01 21:18:10,39.27394,-120.13174
83595,2020-10-20 17:39:57,2024-02-01 21:17:43,39.22569,-120.07408
83705,2020-10-20 18:20:22,2022-10-27 18:29:45,38.948982,-119.95252
83897,2020-10-20 21:06:11,2023-05-16 20:15:30,39.19145,-120.104004
83989,2020-10-20 21:24:25,2020-11-08 18:02:49,39.042374,-120.119995
84689,2020-10-22 20:32:30,2024-02-01 21:18:02,39.231415,-120.00283
85327,2020-10-23 19:52:29,2024-02-01 21:18:05,39.255608,-119.976036
85599,2020-10-26 15:20:11,2024-02-01 21:18:06,39.12675,-120.16107
85715,2020-10-26 21:15:52,2024-02-01 21:16:45,38.994396,-119.953766
87009,2020-10-29 22:33:03,2024-02-01 21:18:15,39.276028,-120.15567
87137,2020-10-30 15:14:52,2023-12-08 18:29:08,39.2437,-120.02788
87499,2020-10-30 18:00:55,2024-02-01 21:17:40,38.921906,-119.976746
90409,2020-11-16 21:46:35,2023-02-25 20:41:31,39.07303,-120.14508
90703,2020-11-17 22:02:33,2024-02-01 20:57:42,39.013657,-119.942696
90799,2020-11-17 22:39:05,2024-02-01 21:18:26,39.269474,-120.12857
91631,2020-11-20 21:07:45,2022-07-08 23:07:03,39.252502,-119.96326
94689,2020-12-16 18:43:40,2021-07-27 17:02:57,39.2406,-119.948845
95965,2020-12-22 21:32:49,2024-02-01 21:17:14,39.24698,-119.94753
96997,2020-12-30 22:24:10,2024-02-01 21:16:49,39.13617,-120.16137
97155,2021-01-04 20:00:06,2021-06-03 03:18:52,39.14974,-120.15215
103130,2021-04-01 21:12:28,2023-08-24 01:38:16,39.25096,-119.93092
103726,2021-04-07 18:12:08,2021-04-15 22:09:10,39.236942,-119.934135
104042,2021-04-13 20:32:12,2024-02-01 21:17:45,39.255417,-120.03208
104358,2021-04-19 17:57:10,2022-02-21 18:03:21,39.238914,-120.01536
104390,2021-04-19 20:43:30,2024-02-01 21:16:54,38.979626,-119.921196
104424,2021-04-19 20:57:02,2024-01-20 19:07:02,38.927494,-120.08134
104454,2021-04-19 21:32:04,2023-08-07 23:50:54,39.210724,-120.09041
104628,2021-04-20 21:46:39,2024-01-24 17:17:17,39.074406,-120.150246
104706,2021-04-21 22:31:01,2023-10-12 15:31:09,39.10635,-120.17318
104862,2021-04-22 20:36:49,2023-02-05 17:01:58,39.137035,-120.159386
104874,2021-04-22 20:54:46,2023-08-13 16:34:41,39.26852,-119.95207
104956,2021-04-23 21:30:09,2024-02-01 21:17:02,39.236835,-120.014915
105992,2021-05-06 21:56:48,2022-12-03 18:07:34,39.177204,-120.13253
106146,2021-05-10 21:27:19,2022-09-18 17:26:22,38.936558,-120.00914
106466,2021-05-12 21:52:00,2024-02-01 21:17:07,39.258224,-119.93666
106486,2021-05-13 21:18:24,2024-02-01 21:17:33,39.237003,-119.934616
106500,2021-05-13 21:19:34,2021-08-06 17:36:11,39.2509,-119.93056
106506,2021-05-13 21:20:22,2021-12-01 16:06:10,38.990643,-119.95382
106560,2021-05-13 21:52:34,2021-09-12 01:16:05,39.255352,-120.03217
106626,2021-05-14 22:44:47,2024-02-01 21:18:17,39.27054,-119.97106
107384,2021-05-25 21:55:44,2024-02-01 21:16:43,39.088287,-119.9317
107534,2021-05-28 22:37:18,2023-06-29 21:50:21,39.254288,-120.13924
107536,2021-05-28 22:37:27,2024-02-01 21:17:47,39.263844,-120.12671
107636,2021-05-31 20:21:57,2023-08-21 20:50:58,39.197815,-119.93278
108064,2021-06-07 14:48:25,2024-02-01 21:18:35,39.126247,-120.16686
108228,2021-06-08 21:14:14,2021-11-30 02:55:32,39.08389,-119.936874
108476,2021-06-10 21:47:02,2022-09-20 19:34:35,39.126247,-120.16237
109078,2021-06-16 22:02:02,2024-02-01 21:18:35,39.127453,-120.1612
109276,2021-06-17 20:28:15,2024-02-01 21:18:29,39.25727,-119.96667
109318,2021-06-17 21:29:35,2024-02-01 15:20:35,39.274582,-120.119804
